trade_number,cumulative_pnl,timestamp_ms
1,-25,1772021400013
2,-0.866935483870968,1772022000030
3,24.492244406867844,1772022332982
4,48.62530892299688,1772022600208
5,69.41285471054266,1772024100131
6,98.06092338007056,1772024400150
7,244.2938000923993,1772024400150
8,219.2938000923993,1772025000093
9,194.2938000923993,1772025300268
10,169.2938000923993,1772025900043
11,190.08134587994508,1772026200156
12,219.90590728345384,1772027400097
13,248.55397595298174,1772027700069
14,223.55397595298174,1772028000219
15,369.78685266531045,1772028000219
16,432.19944007789786,1772028600056
17,578.4323167902267,1772028900111
18,618.199156168465,1772030100029
19,641.6487685715658,1772030400012
20,616.6487685715658,1772030700091
21,656.4156079498042,1772030700091
22,677.20315373735,1772031000087
23,652.20315373735,1772031300060
24,677.6063795438016,1772031600168
25,698.3939253313474,1772031600168
26,844.6268020436762,1772031600168
27,870.0300278501278,1772031900063
28,898.6780965196557,1772032200081
29,873.6780965196557,1772032500125
30,894.4656423072015,1772032800224
31,869.4656423072015,1772033100113
32,931.8782297197889,1772033400114
33,952.6657755073347,1772033400114
34,927.6657755073347,1772033700145
35,948.4533212948805,1772034000005
36,923.4533212948805,1772034300180
37,898.4533212948805,1772034600002
38,921.9029336979813,1772034900116
39,945.3525461010821,1772035200175
40,970.7557719075337,1772035200175
41,991.5433176950795,1772035500123
42,1016.9465435015311,1772035800081
43,1042.3497693079828,1772036100085
44,1063.1373150955285,1772036100085
45,1088.5405409019802,1772036400123
46,1063.5405409019802,1772036700584
47,1103.3073802802185,1772037000131
48,1128.7106060866702,1772037000131
49,1149.4981518742159,1772037600151
50,1179.3227132777247,1772038200026
51,1202.7723256808254,1772038500159
52,1232.5968870843342,1772038800093
53,1262.421448487843,1772038800093
54,1283.2089942753887,1772038800093
55,1311.8570629449166,1772039100127
56,1286.8570629449166,1772039400076
57,1312.2602887513683,1772039700416
58,1287.2602887513683,1772039700416
59,1368.1924921411987,1772040000036
60,1398.0170535447076,1772040300053
61,1437.7838929229458,1772040600177
62,1412.7838929229458,1772040600177
63,1454.2732546250734,1772040900119
64,1475.060800412619,1772041200117
65,1504.885361816128,1772041500176
66,1479.885361816128,1772041500176
67,1500.6729076036736,1772041800013
68,1475.6729076036736,1772042101906
69,1499.1225200067743,1772042400133
70,1474.1225200067743,1772042400133
71,1449.1225200067743,1772042400133
72,1488.8893593850125,1772042700081
73,1509.6769051725582,1772043000150
74,1535.08013097901,1772043300147
75,1510.08013097901,1772043300147
76,1533.5297433821106,1772043600119
77,1554.3172891696563,1772043900253
78,1584.1418505731651,1772044200093
79,1559.1418505731651,1772044200093
80,1582.5914629762658,1772044500099
81,1603.3790087638115,1772044800132
82,1578.3790087638115,1772045100174
83,1601.8286211669122,1772045400021
84,1625.2782335700128,1772046000141
85,1600.2782335700128,1772046000141
86,1575.2782335700128,1772046300122
87,1550.2782335700128,1772046600126
88,1573.7278459731135,1772046900089
89,1548.7278459731135,1772046900089
90,1588.4946853513518,1772047800101
91,1629.9840470534793,1772048100012
92,1671.473408755607,1772048700143
93,1712.9627704577345,1772049300126
94,1687.9627704577345,1772049600113
95,1708.7503162452801,1772049600113
96,1748.5171556235184,1772050500133
97,1773.9203814299701,1772051700104
98,1797.3699938330708,1772052000082
99,1822.7732196395225,1772052300069
100,1852.5977810430313,1772052600013
101,1827.5977810430313,1772052900114
102,1857.4223424465401,1772053200223
103,1880.8719548496408,1772053500079
104,1904.3215672527415,1772054100170
105,1927.7711796558422,1772054100170
106,1967.5380190340804,1772055000210
107,2029.9506064466677,1772055300094
108,2050.7381522342134,1772055600030
109,2074.187764637314,1772055900100
110,2136.6003520499016,1772055900100
111,2160.0499644530023,1772056200031
112,2183.499576856103,1772056800061
113,2206.9491892592036,1772056800061
114,2230.3988016623043,1772056800061
115,2251.18634744985,1772057100105
116,2290.9531868280883,1772057400016
117,2316.35641263454,1772057700099
118,2337.1439584220857,1772057700099
119,2378.6333201242132,1772058000076
120,2420.122681826341,1772058600130
121,2461.6120435284683,1772058900009
122,2503.101405230596,1772059200098
123,2523.0654340075744,1772059500228
124,2564.554795709702,1772059500228
125,2585.3423414972476,1772060100010
126,2606.1298872847933,1772060400135
127,2581.1298872847933,1772060400135
128,2620.8967266630316,1772060700086
129,2646.2999524694833,1772061000008
130,2686.0667918477216,1772061300090
131,2661.0667918477216,1772061300090
132,2700.83363122596,1772061600120
133,2740.600470604198,1772062200067
134,2780.3673099824364,1772062500120
135,2803.816922385537,1772063100189
136,2843.5837617637753,1772063100189
137,2868.986987570227,1772063400007
138,2894.3902133766787,1772063700115
139,2919.7934391831304,1772064000128
140,2959.5602785613687,1772064000128
141,2983.0098909644694,1772064300024
142,3012.834452367978,1772064600009
143,2987.834452367978,1772064900171
144,2962.834452367978,1772064900171
145,2992.6590137714866,1772065200097
146,3013.4465595590323,1772065500087
147,3043.271120962541,1772065800116
148,3064.0586667500866,1772066100083
149,3103.825506128325,1772066400132
150,3078.825506128325,1772066700093
151,3053.825506128325,1772066700093
152,3028.825506128325,1772067300088
153,3003.825506128325,1772067600170
154,3033.6500675318334,1772068200065
155,3179.882944244162,1772068500082
156,3219.6497836224003,1772068800137
157,3261.139145324528,1772069400175
158,3300.905984702766,1772069400175
159,3324.3555971058668,1772069700105
160,3299.3555971058668,1772070300175
161,3322.8052095089674,1772070300175
162,3364.294571211095,1772070900117
163,3339.294571211095,1772071200128
164,3379.0614105893333,1772071500069
165,3354.0614105893333,1772071800098
166,3377.511022992434,1772072100182
167,3417.277862370672,1772072100182
168,3438.065408158218,1772072400102
169,3458.8529539457636,1772073000140
170,3488.677515349272,1772073300018
171,3518.502076752781,1772073900059
172,3493.502076752781,1772074800149
173,3533.268916131019,1772075400089
174,3561.9169848005467,1772076300093
175,3601.683824178785,1772077200057
176,3576.683824178785,1772078400139
177,3639.0964115913725,1772079600109
178,3667.7444802609007,1772079900086
179,3693.1477060673524,1772080200134
180,3755.56029347994,1772080200134
181,3785.3848548834485,1772080500053
182,3815.209416286957,1772081100123
183,3838.6590286900578,1772081700056
184,3878.425868068296,1772082300038
185,3901.8754804713967,1772082651371
186,3941.642319849635,1772082900128
187,3981.4091592278733,1772082900128
188,4004.858771630974,1772083200157
189,3979.858771630974,1772083800073
190,3954.858771630974,1772084100110
191,3994.625611009212,1772084400069
192,3969.625611009212,1772084700059
193,4009.3924503874505,1772085600189
194,4049.1592897656888,1772085900108
195,4074.5625155721405,1772086200005
196,4049.5625155721405,1772086500100
197,4089.3293549503787,1772087700104
198,4064.3293549503787,1772088000038
199,4104.0961943286175,1772088300081
200,4143.863033706856,1772088300081
201,4169.266259513308,1772088900112
202,4209.033098891547,1772089200134
203,4248.799938269785,1772090400129
204,4288.566777648024,1772091000190
205,4328.333617026263,1772092500105
206,4353.7368428327145,1772094300077
207,4395.2262045348425,1772094600095
208,4434.993043913081,1772095500127
209,4474.75988329132,1772096400120
210,4500.163109097772,1772097000099
211,4523.612721500873,1772097600030
212,4547.062333903974,1772098200158
213,4572.465559710426,1772098800010
214,4718.698436422755,1772099100113
215,4744.101662229206,1772099400093
216,4769.504888035658,1772100000182
217,4798.152956705186,1772100600002
218,4773.152956705186,1772100900259
219,4801.801025374713,1772102700165
220,4822.5885711622595,1772104500148
221,4864.077932864388,1772104800006
222,4905.567294566516,1772105400086
223,4947.056656268644,1772106600016
224,4988.546017970772,1772107200120
225,5013.949243777223,1772107500115
226,5039.352469583675,1772108100120
227,5079.119308961914,1772109000179
228,5104.522534768365,1772110800138
229,5144.289374146604,1772111700130
230,5167.738986549705,1772113200394
231,5191.188598952806,1772114406517
232,5214.6382113559075,1772114700095
233,5254.405050734146,1772115000153
234,5279.808276540598,1772115301937
235,5254.808276540598,1772115301937
236,5294.575115918837,1772115600154
237,5269.575115918837,1772116200105
238,5293.024728321938,1772116500001
239,5268.024728321938,1772116800072
240,5243.024728321938,1772117100092
241,5266.474340725039,1772117100092
242,5295.122409394567,1772117400004
243,5315.909955182113,1772117700317
244,5336.697500969659,1772118000205
245,5365.345569639187,1772118000205
246,5388.795182042288,1772118000205
247,5412.244794445389,1772118300078
248,5387.244794445389,1772118600067
249,5408.032340232935,1772118900198
250,5431.481952636036,1772118900198
251,5460.130021305564,1772119200134
252,5480.91756709311,1772119500047
253,5504.367179496211,1772119800077
254,5533.015248165739,1772119800077
255,5508.015248165739,1772120100013
256,5570.427835578326,1772120400127
257,5595.831061384778,1772120700172
258,5621.23428719123,1772120700172
259,5642.021832978776,1772121000101
260,5670.6699016483035,1772121300044
261,5645.6699016483035,1772121600137
262,5666.45744743585,1772121600137
263,5689.907059838951,1772121600137
264,5664.907059838951,1772121600137
265,5706.396421541079,1772121900108
266,5729.84603394418,1772122200021
267,5704.84603394418,1772122500114
268,5746.335395646308,1772122500114
269,5808.747983058895,1772122800139
