window_id,asset,side,entry_price,exit_price,size_usdc,pnl,opened_at_ms,closed_at_ms,close_reason
W5,BTC,Down,0.406,0,25,-25,1772021188720,1772021400013,ExpiryClose
W7,BTC,Up,0.496,1,23.75,24.133064516129032,1772021743070,1772022000030,ExpiryClose
W9,BTC,Up,0.496,1,24.956653225806452,25.35917989073881,1772022037939,1772022332982,ExpiryClose
W8,BTC,Up,0.496,1,23.75,24.133064516129032,1772021743070,1772022600208,ExpiryClose
W17,BTC,Up,0.506,1,25,24.40711462450593,1772023817042,1772024100131,ExpiryClose
W18,BTC,Down,0.506,1,25,24.40711462450593,1772024118170,1772024400150,ExpiryClose
W22,BTC,Up,0.496,0,25,-25,1772024758314,1772025000093,ExpiryClose
W26,BTC,Down,0.516,0,25,-25,1772025653644,1772025900043,ExpiryClose
W27,BTC,Up,0.506,1,25,24.40711462450593,1772025922672,1772026200156,ExpiryClose
W34,BTC,Down,0.506,1,25,24.40711462450593,1772027408330,1772027700069,ExpiryClose
W39,BTC,Up,0.536,1,25,21.64179104477612,1772028403571,1772028600056,ExpiryClose
W45,BTC,Down,0.406,1,25,36.576354679802954,1772029861531,1772030100029,ExpiryClose
W47,BTC,Down,0.516,1,25,23.449612403100772,1772030132709,1772030400012,ExpiryClose
W48,BTC,Up,0.506,0,25,-25,1772030421142,1772030700091,ExpiryClose
W46,BTC,Down,0.406,1,25,36.576354679802954,1772029861531,1772030700091,ExpiryClose
W49,BTC,Up,0.506,1,25,24.40711462450593,1772030713788,1772031000087,ExpiryClose
W51,BTC,Up,0.496,0,25,-25,1772031032870,1772031300060,ExpiryClose
W52,BTC,Up,0.496,1,25,25.403225806451616,1772031338969,1772031600168,ExpiryClose
W50,BTC,Up,0.506,1,25,24.40711462450593,1772030713788,1772031600168,ExpiryClose
W53,BTC,Up,0.496,1,25,25.403225806451616,1772031633077,1772031900063,ExpiryClose
W56,BTC,Down,0.506,1,25,24.40711462450593,1772031905095,1772032200081,ExpiryClose
W54,BTC,Up,0.496,0,25,-25,1772031633077,1772032500125,ExpiryClose
W58,BTC,Up,0.506,1,25,24.40711462450593,1772032528288,1772032800224,ExpiryClose
W60,BTC,Down,0.506,0,25,-25,1772032825336,1772033100113,ExpiryClose
W61,BTC,Up,0.536,1,25,21.64179104477612,1772033178415,1772033400114,ExpiryClose
W59,BTC,Up,0.506,1,25,24.40711462450593,1772032528288,1772033400114,ExpiryClose
W62,BTC,Down,0.506,0,25,-25,1772033424543,1772033700145,ExpiryClose
W64,BTC,Up,0.506,1,25,24.40711462450593,1772033703070,1772034000005,ExpiryClose
W63,BTC,Down,0.506,0,25,-25,1772033424543,1772034300180,ExpiryClose
W66,BTC,Down,0.516,0,25,-25,1772034347272,1772034600002,ExpiryClose
W68,BTC,Down,0.516,1,25,23.449612403100772,1772034651269,1772034900116,ExpiryClose
W67,BTC,Down,0.516,1,25,23.449612403100772,1772034347272,1772035200175,ExpiryClose
W55,BTC,Up,0.496,1,25,25.403225806451616,1772031633077,1772035200175,ExpiryClose
W70,BTC,Up,0.506,1,25,24.40711462450593,1772035223531,1772035500123,ExpiryClose
W74,BTC,Up,0.496,1,25,25.403225806451616,1772035546583,1772035800081,ExpiryClose
W75,BTC,Up,0.496,1,25,25.403225806451616,1772035854145,1772036100085,ExpiryClose
W71,BTC,Up,0.506,1,25,24.40711462450593,1772035223531,1772036100085,ExpiryClose
W76,BTC,Up,0.496,1,25,25.403225806451616,1772036143707,1772036400123,ExpiryClose
W78,BTC,Down,0.506,0,25,-25,1772036423876,1772036700584,ExpiryClose
W79,BTC,Down,0.406,1,25,36.576354679802954,1772036772022,1772037000131,ExpiryClose
W77,BTC,Up,0.496,1,25,25.403225806451616,1772036143707,1772037000131,ExpiryClose
W82,BTC,Up,0.506,1,25,24.40711462450593,1772037328193,1772037600151,ExpiryClose
W86,BTC,Down,0.516,1,25,23.449612403100772,1772038258411,1772038500159,ExpiryClose
W72,BTC,Up,0.506,1,25,24.40711462450593,1772035223531,1772038800093,ExpiryClose
W88,BTC,Down,0.506,1,25,24.40711462450593,1772038829004,1772039100127,ExpiryClose
W91,BTC,Down,0.516,0,25,-25,1772039158043,1772039400076,ExpiryClose
W92,BTC,Up,0.496,1,25,25.403225806451616,1772039435211,1772039700416,ExpiryClose
W89,BTC,Down,0.506,0,25,-25,1772038829004,1772039700416,ExpiryClose
W93,BTC,Down,0.236,1,25,80.93220338983052,1772039938455,1772040000036,ExpiryClose
W96,BTC,Down,0.406,1,25,36.576354679802954,1772040364587,1772040600177,ExpiryClose
W94,BTC,Down,0.236,0,25,-25,1772039938455,1772040600177,ExpiryClose
